Query,Original_Answer,Generated_Answer
"What are the top-rated products by category, based on customer scores, from our transaction data? Can you also filter them based on a minimum score threshold?","def top_rated_products_by_category(df, product_df, threshold=None):\n    merged_df = pd.merge(df, product_df, on='item_id', how='inner')\n    product_scores_by_category = merged_df.groupby(['product_category', 'item_id'])['score'].mean().reset_index()\n    product_scores_by_category = product_scores_by_category.sort_values(by=['product_category', 'score'], ascending=[True, False])\n    if threshold:\n        top_products_by_category = product_scores_by_category.groupby('product_category').head(threshold)\n    else:\n        top_products_by_category = product_scores_by_category\n    return top_products_by_category\n","def top_rated_products_by_category(df, product_df, min_score=4.0):\n    merged_df = df.merge(product_df, on='item_id')\n    product_scores = merged_df.groupby(['item_id', 'product_category'])['score'].mean().reset_index()\n    top_products = product_scores.sort_values(by='score', ascending=False)\n    top_products = top_products.drop(columns=['product_category']).reset_index()\n    top_products = top_products.merge(product_scores, on=['item_id', 'product_category'], how='left')\n    top_products = top_products.sort_values(by=['score'], ascending=False)\n    top_products = top_products.drop(columns=['product_category'], how='left')\n    top_products = top_products.head(top_products.shape[0] - 1)\n    return top_products\n"
Are there any products with a declining trend in transaction volume over time?,"def declining_trend_products(df, product_df):\n    merged_df = pd.merge(df, product_df, on='item_id')\n    transaction_counts = merged_df.groupby(['item_id', pd.Grouper(key='timestamp', freq='ME')]).size().reset_index(name='transaction_count')\n    trend_data = []\n    for product_id, product_data in transaction_counts.groupby('item_id'):\n        if len(product_data) < 2:\n            continue  \n        slope, _ = np.polyfit(range(len(product_data)), product_data['transaction_count'], 1)\n        trend_data.append((product_id, slope))\n    declining_products = [product_id for product_id, slope in trend_data if slope < 0]\n    return declining_products\n","def find_declining_products(df, product_df):\n    merged_df = df.merge(product_df, on='item_id')\n    merged_df['transaction_count'] = 1\n    grouped = merged_df.groupby(['item_id', pd.Grouper(key='timestamp', freq='ME')])\n    transaction_counts = grouped.size().reset_index(name='transaction_count')\n    declining_products = transaction_counts[transaction_counts['transaction_count'] > 1]\n    return declining_products\n"
What is the average transaction score for transactions made by customers from different cities per quarter per product category?,"def average_transaction_score_per_city_per_quarter_per_category(df, customer_df, product_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df = pd.merge(merged_df, product_df, on='item_id')\n    merged_df['timestamp'] = pd.to_datetime(merged_df['timestamp'])\n    merged_df['quarter'] = merged_df['timestamp'].dt.quarter\n    result = merged_df.groupby(['quarter', 'customer_city', 'product_category'])['score'].mean().reset_index()\n    return result\n","def average_transaction_score_per_city_per_quarter_per_category(df, customer_df, product_df):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    merged_df['quarter'] = merged_df['timestamp'].dt.quarter\n    merged_df['year'] = merged_df['timestamp'].dt.year\n    avg_score_per_city_per_quarter_per_category = merged_df.groupby(['customer_city', 'quarter', 'product_category'])['score'].mean().reset_index()\n    return avg_score_per_city_per_quarter_per_category\n"
Can you identify any correlations between transaction score and product category?,"def calculate_score_by_category(df, product_df):\n    """"""\n    Calculates the mean transaction score for each product category.\n    Args:\n        df (pd.DataFrame): Transaction data DataFrame.\n        product_df (pd.DataFrame): Product data DataFrame.\n    Returns:\n        pd.Series: Mean transaction scores indexed by product category.\n    """"""\n    merged_df = pd.merge(df, product_df, on='item_id', how='inner')\n    mean_scores = merged_df.groupby('product_category')['score'].mean()\n    return mean_scores\n","def correlate_score_with_category(df, product_df):\n    merged_df = df.merge(product_df, on='item_id')\n    category_scores = merged_df.groupby('product_category')['score'].mean()\n    correlation = category_scores.corr()\n    return correlation\n"
Are there any trends or patterns in the purchasing behavior of customers regarding complementary products?,"def calculate_lift(df, customer_df, product_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df = pd.merge(merged_df, product_df, on='item_id')\n    orders_grouped = merged_df.groupby('order_id')['product_category'].apply(list)\n    pair_counts = defaultdict(int)\n    product_counts = defaultdict(int)\n    lift_values = {}\n    for products in orders_grouped:\n        for pair in combinations(products, 2):\n            pair_counts[pair] += 1\n        for product in products:\n            product_counts[product] += 1\n    total_orders = len(orders_grouped)\n    for pair, count in pair_counts.items():\n        product1, product2 = pair\n        lift = (count * total_orders) / (product_counts[product1] * product_counts[product2])\n        lift_values[pair] = lift\n    return lift_values\n","def analyze_purchasing_behavior(df, customer_df, product_df):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    pivot_table = merged_df.pivot_table(index='item_id', columns='product_category', values='score', aggfunc='size', fill_value=0)\n    scaler = StandardScaler()\n    scaled_features = scaler.fit_transform(pivot_table)\n    kmeans = KMeans()\n    kmeans.fit(scaled_features)\n    kmeans.predict(scaled_features)\n    return kmeans\n"
Could you please identify any outliers in the customer satisfaction scores dataset with a threshold of 1.5 standard deviations from the mean?,"def identify_rating_outliers(df, threshold=1.5):\n    Q1 = df['score'].quantile(0.25)\n    Q3 = df['score'].quantile(0.75)\n    IQR = Q3 - Q1\n    lower_bound = Q1 - threshold * IQR\n    upper_bound = Q3 + threshold * IQR\n    outliers = df[(df['score'] < lower_bound) | (df['score'] > upper_bound)]\n    return outliers\n","def identify_outliers(df, threshold=1.5):\n    df['z_score'] = np.abs((df['score'] - df['score'].mean()) / df['score'].std())\n    outliers = df[df['z_score'] > threshold]\n    return outliers\n"
What is the average time between repeat transactions for each customer?,"def average_time_between_transactions_per_customer(df, customer_df, user_id_col='user_id', timestamp_col='timestamp'):\n    merged_df = df.merge(customer_df, on=user_id_col, how='left')\n    merged_df[timestamp_col] = pd.to_datetime(merged_df[timestamp_col])\n    sorted_df = merged_df.sort_values(by=[user_id_col, timestamp_col])\n    sorted_df['time_diff'] = sorted_df.groupby(user_id_col)[timestamp_col].diff()\n    avg_time_per_customer = sorted_df.groupby(user_id_col)['time_diff'].mean()\n    return avg_time_per_customer\n","def average_time_between_repeat_transactions(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    merged_df['timestamp'] = pd.to_datetime(merged_df['timestamp'])\n    merged_df.sort_values(by=['user_id', 'timestamp'], inplace=True)\n    merged_df['time_diff'] = merged_df.groupby('user_id')['timestamp'].diff().dt.total_seconds()\n    avg_time_between_repeat_transactions = merged_df.groupby('user_id')['time_diff'].mean()\n    return avg_time_between_repeat_transactions\n"
Can you recommend complementary products for user 'sample_user' based on their transaction history?,"def recommend_complementary_products(df, customer_df, product_df, user_id='sample_user', top_n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    user_transactions = merged_df[merged_df['user_id'] == user_id]\n    category_counts = user_transactions['product_category'].value_counts()\n    top_categories = category_counts.head(top_n).index.tolist()\n    complementary_products = []\n    for category in top_categories:\n        products_in_category = user_transactions[user_transactions['product_category'] == category]['item_id'].unique()\n        for product_id in products_in_category:\n            complementary_products.extend(merged_df[merged_df['product_category'] != category]\n                                         [merged_df['item_id'] != product_id]['item_id'].unique())\n    complementary_products = list(set(complementary_products) - set(user_transactions['item_id'].unique()))\n    return complementary_products[:top_n]\n","def recommend_complementary_products(df, customer_df, product_df, user_id='sample_user', n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    user_transactions = merged_df[merged_df['user_id'] == user_id]\n    product_scores = user_transactions.groupby('item_id')['score'].mean().reset_index()\n    top_products = product_scores.sort_values(by='score', ascending=False).head(n)\n    top_products_ids = top_products['item_id'].unique()\n    complementary_products = merged_df[~merged_df['item_id'].isin(top_products_ids)]\n    complementary_products = complementary_products.groupby('item_id')['score'].mean().reset_index()\n    complementary_products = complementary_products.sort_values(by='score', ascending=False).head(n)\n"
"What is the correlation between transaction scores and customer city, as well as product category during peak hours, specifically from 8 AM to 10 AM?","def correlate_score_with_category_and_peak_hours(df, customer_df, product_df, peak_hours=[8, 9, 10]):\n    df = pd.merge(df, customer_df, on='user_id', how='left')\n    df = pd.merge(df, product_df, on='item_id', how='left')\n    peak_hour_transactions = df[df['timestamp'].dt.hour.isin(peak_hours)]\n    city_scores = peak_hour_transactions.groupby('customer_city')['score'].mean()\n    category_scores = peak_hour_transactions.groupby('product_category')['score'].mean()\n    city_correlation = peak_hour_transactions.groupby('customer_city')['score'].corr(city_scores)\n    category_correlation = peak_hour_transactions.groupby('product_category')['score'].corr(category_scores)\n    return city_correlation, category_correlation\n","def correlate_transaction_scores_with_city_and_peak_hours(df, customer_df, product_df, peak_start_hour=8, peak_end_hour=10):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    merged_df['timestamp'] = pd.to_datetime(merged_df['timestamp'])\n    peak_mask = (merged_df['timestamp'].dt.hour >= peak_start_hour) & (merged_df['timestamp'].dt.hour < peak_end_hour)\n    merged_df['peak_mask'] = merged_df['timestamp'].dt.date.strftime('%Y-%m-%d') + merged_df['timestamp'].dt.hour.strftime('%H:%M')\n    correlation = merged_df.drop(columns=['peak_mask'], inplace=True).corr()\n    return correlation\n"
How many transactions have occurred for each customer city?,"def transactions_per_city(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='inner')\n    transactions_per_city = merged_df.groupby('customer_city').size().reset_index(name='transactions_count')\n    return transactions_per_city\n","def transactions_per_city(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='inner')\n    transactions_per_city = merged_df.groupby('customer_city').size().reset_index(name='transaction_count')\n    return transactions_per_city\n"
Top-Rated Products for Each Customer,"def top_rated_products(df, customer_df, product_df):\n    """"""\n    Returns the highest-rated product for each customer along with their city and product category.\n    Args:\n        df (pd.DataFrame): Pandas DataFrame containing transaction data.\n            Columns: 'order_id', 'user_id', 'item_id', 'timestamp', 'score'.\n        customer_df (pd.DataFrame): Pandas DataFrame containing customer data.\n            Columns: 'user_id', 'customer_city'.\n        product_df (pd.DataFrame): Pandas DataFrame containing product data.\n            Columns: 'item_id', 'product_category'.\n    Returns:\n        pd.DataFrame: DataFrame with user_id as index and corresponding top-rated product, city, and product category as columns.\n    """"""\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    merged_df = pd.merge(merged_df, product_df, on='item_id', how='left')\n    idx = merged_df.groupby('user_id')['score'].idxmax()\n    top_rated = merged_df.loc[idx, ['user_id', 'item_id', 'customer_city', 'product_category']].reset_index(drop=True)\n    return top_rated\n","def top_rated_products_for_each_customer(df, customer_df, product_df, top_n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    product_scores = merged_df.groupby('item_id')['score'].mean()\n    top_products = product_scores.sort_values().head(top_n)\n    return top_products\n"
"Are there any customers who consistently purchase high-scoring products, and do they tend to reside in specific cities?","def high_scoring_customers_by_city(df, customer_df):\n    avg_scores = df.groupby('user_id')['score'].mean()\n    merged_df = pd.merge(avg_scores, customer_df, on='user_id')\n    city_avg_scores = merged_df.groupby('customer_city')['score'].mean()\n    return city_avg_scores\n","def consistently_high_scoring_customers(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='inner')\n    high_scoring_customers = merged_df[merged_df['score'] >= 4]\n    city_mapping = {\n        'New York': 'New York',\n        'Los Angeles': 'Los Angeles',\n        'Chicago': 'Chicago',\n        'Houston': 'Houston'\n    }\n    def map_city(city):\n        if city in city_mapping:\n            return city_mapping[city]\n        else:\n            return 'Other'\n    high_scoring_customers['city_encoded'] = high_scoring_customers['customer_city'].apply(map_city)\n    return high_scoring_customers\n"
Can you recommend ways to refine our purchase likelihood predictions based on ongoing analysis and feedback?,"def refine_purchase_predictions(df, customer_df, product_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df = pd.merge(merged_df, product_df, on='item_id')\n    features = merged_df.groupby(['user_id', 'item_id']).agg({\n        'score': ['mean', 'count'],\n        'customer_city': 'first',\n        'product_category': 'first'\n    }).reset_index()\n    features.columns = ['user_id', 'item_id', 'avg_score', 'purchase_frequency', 'customer_city', 'product_category']\n    features = pd.get_dummies(features, columns=['customer_city', 'product_category'])\n    features['likely_purchase'] = (features['avg_score'] > 0.5).astype(int)\n    X = features.drop(['user_id', 'item_id', 'likely_purchase'], axis=1)\n    y = features['likely_purchase']\n    X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)\n    clf = RandomForestClassifier(n_estimators=100, random_state=42)\n    clf.fit(X_train, y_train)\n    y_pred = clf.predict(X_test)\n    print(classification_report(y_test, y_pred))\n    return clf\n","def refine_purchase_likelihood(df, customer_df, product_df):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    purchase_likelihood = merged_df.groupby(['customer_city', 'product_category'])['score'].mean()\n    return purchase_likelihood\n"
Can you generate recommendations for user 'user1' based on their previous transactions? Please provide 5 recommendations.,"def generate_recommendations(df, customer_df, product_df, user_id='user1', num_recommendations=5):\n    user_transactions = df[df['user_id'] == user_id]\n    user_transactions = user_transactions.merge(product_df, on='item_id', how='left')\n    category_counts = user_transactions['product_category'].value_counts()\n    sorted_categories = category_counts.index.tolist()\n    purchased_categories = set(user_transactions['product_category'])\n    sorted_categories = [cat for cat in sorted_categories if cat not in purchased_categories]\n    if len(sorted_categories) == 0:\n        recommendations = product_df['item_id'].value_counts().index.tolist()[:num_recommendations]\n        return recommendations\n    recommendations = []\n    for category in sorted_categories:\n        category_products = product_df[product_df['product_category'] == category]['item_id']\n        top_products = category_products.head(num_recommendations // len(sorted_categories))\n        recommendations.extend(top_products)\n        if len(recommendations) >= num_recommendations:\n            break\n    return recommendations[:num_recommendations]\n","def generate_recommendations(df, customer_df, product_df, user_id='user1', n=5):\n    merged_df = df.merge(customer_df, on='user_id').merge(product_df, on='item_id')\n    user_transactions = merged_df[merged_df['user_id'] == user_id]\n    user_transactions_products = user_transactions['item_id'].unique()\n    avg_score = user_transactions.groupby('item_id')['score'].mean()\n    avg_score_products = avg_score.index.tolist()\n    avg_score_products_scores = avg_score[avg_score_products]\n    top_products = avg_score_products_scores.head(n)\n    return top_products\n"
How many transactions have occurred for each customer city per day of the week?,"def transactions_per_city_per_day_of_week(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    merged_df['timestamp'] = pd.to_datetime(merged_df['timestamp'])\n    merged_df['day_of_week'] = merged_df['timestamp'].dt.day_name()\n    transactions_per_city_per_day = merged_df.groupby(['customer_city', 'day_of_week']).size().reset_index(name='transaction_count')\n    return transactions_per_city_per_day\n","def transactions_per_city_per_day(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='left')\n    merged_df['day_of_week'] = merged_df['timestamp'].dt.day_name()\n    transactions_per_city_per_day = merged_df.groupby(['customer_city', 'day_of_week']].reset_index()\n    return transactions_per_city_per_day\n"
How many unique customers have made transactions in each month?,"def unique_customers_per_month(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id', how='inner')\n    merged_df['month_year'] = merged_df['timestamp'].dt.to_period('M')\n    unique_customers_per_month = merged_df.groupby('month_year')['user_id'].nunique()\n    return unique_customers_per_month\n","def unique_customers_per_month(df, customer_df):\n    merged_df = pd.merge(df, customer_df, on='user_id')\n    merged_df['month'] = merged_df['timestamp'].dt.month\n    unique_customers = merged_df.groupby(['customer_city','month']).size().reset_index(name='count')\n    return unique_customers\n"
